Ref Program,input_filename,Total Score Winnowing,Similarity Score,Score by num of failure,Score by num of error,Score by num of warning
ref.py,001.py,0.545,32.7,100,78,89
ref.py,002.py,1.0,100.0,100,96,98
ref.py,003.py,1.0,100.0,100,98,99
ref.py,004.py,0.8670000000000001,86.70000000000002,100,96,99
ref.py,006.py,0.8610000000000001,51.660000000000004,100,98,98
ref.py,007.py,0.561,33.660000000000004,100,98,95
ref.py,008.py,0.674,40.440000000000005,100,100,95
ref.py,009.py,0.669,40.14,100,88,99
ref.py,010.py,0.558,55.800000000000004,100,92,99
ref.py,011.py,0.678,40.68,100,100,99
ref.py,013.py,0.712,42.72,90,92,100
ref.py,014.py,0.656,65.60000000000001,100,94,99
ref.py,015.py,0.487,29.22,100,100,97
ref.py,016.py,0.8510000000000001,51.06,100,98,99
